city_name,apparent_temperature_mean,sunshine_duration,precipitation_sum,precipitation_hours,snowfall_sum,wind_speed_10m_max
Bago,30.995980084823902,30575.031432786283,7.346173704591555,7.448644661626406,0.0,11.66832011801586
Ban Bang Pu Mai,32.0851004978794,34439.610082979896,3.2177761386686337,4.809699428360686,0.0,17.88261110086668
Ban Houayxay,28.119269776876266,33092.1882518901,5.547704222754933,6.584731698321962,0.0,8.36924211690946
Ban Mangkon,32.044975106029874,34058.294213534944,3.5789784252258894,4.952056057532731,0.0,16.81672505992993
Ban Rangsit,32.16133136640236,33539.47413608704,4.588309054029136,5.315323621611654,0.0,12.589397012723586
Ban Talat Rangsit,32.22389821132215,33866.3203319196,4.236326756407892,4.929743684307579,0.0,12.896127604646875
Bandar Seri Begawan,31.987055135533836,33166.279089065094,8.17770606675272,9.182002581596903,0.0,12.68771897473723
Bangkok,32.28266322390262,33700.349640354114,3.841184064920694,4.952793656647612,0.0,14.347907062511524
Battambang,32.06830167803798,34249.67894892126,4.236621796053845,4.86760095887885,0.0,13.200958878849345
Bekasi,31.35777245067306,34326.372636916836,6.565996680803983,8.072100313479623,0.0,12.876931587682096
Bekasi Kota,31.39880140143832,34326.372636916836,6.565996680803983,8.072100313479623,0.0,12.876931587682096
Biên Hòa,31.836363636363636,34062.839155449015,5.9714364742762305,6.498063802323437,0.0,13.64995390005532
Bắc Ninh,26.962456205052554,23371.72449382261,5.715766181080583,6.361607966070441,0.0,13.767840678591186
Champasak,29.482850820579014,33822.72959063249,6.444661626406049,6.676931587682095,0.0,9.428416005900793
Chiang Mai,29.439904112115066,33697.92612022866,4.340070071915914,5.222570532915361,0.0,8.523123732251522
Cần Thơ,31.34086299096441,33306.62180896183,6.047077263507284,6.414715102341877,0.0,15.354914254102894
Depok,30.765646321224416,32722.06244329707,7.840328231606122,8.268117278259266,0.0,10.83850267379679
George Town,32.03885303337636,32514.26937672875,7.738723953531255,9.151392218329338,0.0,14.363212244145306
Haiphong,26.76452148257422,26072.891043702748,5.44294670846395,6.25004609994468,0.0,16.25307025631569
Hanoi,27.07067502766507,23235.66743083733,5.5517521209885645,6.18071178314586,0.0,13.638594873686152
Ho Chi Minh City,31.795887126521578,34089.79339542604,5.544854297307267,6.3005716393140325,0.0,14.822644292826848
Hpa-An,31.160298727641525,29493.073687995577,10.79817444219067,9.01309238428914,0.0,10.639738152314218
Huế,29.56177392587129,31339.9302507837,6.365591001290798,6.992255209293749,0.0,19.208869629356442
Hải Dương,26.999133321040013,24296.78471694634,5.4117462659044815,6.225336529596165,0.0,14.121851373778352
Ipoh,31.4210953346856,31835.244298358844,7.624156371012355,7.780564263322884,0.0,8.107394431126682
Jakarta,31.52594983400959,34492.18341386942,5.724769457764663,8.016227180527384,0.0,13.36568320118016
Johor Bahru,31.370090355891573,32789.779278996866,7.532601880877744,9.027291167250599,0.0,16.01803429835884
Kampong Cham,32.10650931218883,34511.99382629541,4.80182555780933,5.43776507468191,0.0,13.889655172413795
Kampong Trach,31.37868338557994,33759.81437396275,5.706951871657754,7.2727272727272725,0.0,16.31071362714365
Klang,31.9127235847317,32451.184180342985,7.806122072653513,8.86760095887885,0.0,10.941784989858013
Kratie,31.994965886040937,34562.24648718422,5.18362529964964,5.707357551170938,0.0,13.950691499170203
Kuala Lumpur,31.768756916267062,31718.23436739211,7.150368867576541,7.983035220357736,0.0,9.163654803614236
Kuantan,31.012576064908725,34902.99549326941,7.740697031163563,9.194910566107321,0.0,17.512262585284898
Kyaukse,29.758805089433892,34927.03168541398,3.0745712705144754,3.5530149363820764,0.0,12.896016964779644
Magway,30.108334869998156,34707.10677669187,3.441784989858012,4.036142356629172,0.0,13.838281394062328
Malang,27.493121888253736,33966.09267379679,7.006398672321593,7.704407154711414,0.0,12.51893785727457
Mandalay,29.96149732620321,34810.982319749215,3.261755485893417,3.873686151576618,0.0,13.653365295961644
Maungdaw,28.97792734648718,32320.283488843816,8.675364189562973,7.742209109349068,0.0,18.42629540844551
Medan,31.243297068043518,31120.429935460077,10.160685967176839,9.36068596717684,0.0,9.54148995021206
Nay Pyi Taw,29.248478701825558,33107.37468006638,5.522754932694081,6.063986723215932,0.0,11.338871473354232
Nonthaburi,32.17918126498248,33605.614086299094,4.103134796238244,4.955190853770976,0.0,13.852461737045914
Pak Kret,32.20966254840494,33674.50889728932,4.232749400700719,4.955006453992255,0.0,13.235054397934721
Pakxé,30.750673059192327,33828.16705882353,5.773907431311082,5.978794025447169,0.0,11.725981928821685
Palembang,31.62227549326941,31006.68690761571,7.1894523326572015,8.38834593398488,0.0,10.520228655725612
Paoy Paet,31.23931403282316,33921.5497492163,3.7947999262400884,4.87460815047022,0.0,15.028840125391849
Pathein,30.647999262400887,30739.97184030979,6.78679697584363,6.988198414161903,0.0,14.37978978425226
Petaling Jaya,31.58052738336714,31925.00671583994,7.860925686889177,8.469666236400517,0.0,9.659210768947078
Phnom Penh,32.16931587682095,34539.892979900425,4.386335976396828,5.264613682463581,0.0,14.257735570717315
Phuket,31.7533284160059,33839.57605753273,5.64558362529965,8.002765996680804,0.0,17.666125760649088
Rangoon,31.22985432417481,30887.311377466347,7.02129817444219,7.210031347962382,0.0,13.59699428360686
Salavan,29.605679513184587,34299.65587866495,4.965388161534206,5.519085377097547,0.0,10.268135718237138
Samraong,31.311432786280655,33871.229952056055,4.16050156739812,5.049050341139591,0.0,13.485948736861516
Samut Sakhon,32.47586206896552,34479.10422275493,3.4294302046837544,4.697399963120044,0.0,16.964263322884012
Savannakhet,29.10154895814125,33735.407569610914,4.478849345380786,5.254102895076526,0.0,15.325189009773188
Seberang Jaya,31.91010510787387,32634.858231606122,7.60709939148073,9.13848423381892,0.0,14.461773925871288
Semarang,31.402765996680806,34804.206212428544,5.7188825373409555,6.931587682094781,0.0,13.171860593767288
Shah Alam,31.783330260003687,32209.230213903742,7.985616817259819,8.741840309791629,0.0,11.058768209478147
Siem Reap,31.959819288216856,34219.10763783883,4.313295224045731,5.322146413424304,0.0,13.282555780933063
Sihanoukville,31.646265904480916,32810.25936382076,9.828452885856537,10.024893970127236,0.0,16.441250230499723
Sisophon,31.777281947261667,34100.507254287295,3.9257975290429648,4.84049419140697,0.0,14.357385211137748
Sungai Petani,31.62509680988383,32219.73140881431,8.098617001659598,8.891757329891204,0.0,13.138023234372119
Surabaya,31.845417665498804,35590.8843315508,5.188198414161903,6.613313664023603,0.0,13.463544163747004
Tangerang,31.267379679144383,34356.32089987092,6.388493453807856,8.36861515766181,0.0,12.32502304997234
Taunggyi,19.807080951502858,33829.97713995943,3.515415821501014,5.411027106767472,0.0,10.591904849714181
Thakhèk,29.283404019915174,33061.18661995205,6.131882721740733,6.391296330444403,0.0,12.569481836621797
Thủ Đức,31.817536418956298,33981.481322146414,5.91091646690024,6.428545085745897,0.0,14.272930112483866
Tân An,31.71501014198783,33846.96217960538,6.131532362161166,6.464503042596349,0.0,13.872985432417481
Vientiane,29.709256868891757,32805.201630094045,5.3238060114327865,5.870551355338374,0.0,11.3444956666052
Xai,25.67707910750507,32369.297045915544,4.942559468928637,6.440899870920155,0.0,9.635054397934724
Xaignabouli,27.179531624562053,32461.179295592843,4.749253180896183,6.068596717683938,0.0,7.916872579752904
Xiangkhoang,22.61504702194357,30816.317556702936,4.589821132214641,5.770606675271989,0.0,9.465830721003135
